Isolaat,amp100-1,amp100-2,amp100-3,amp100-4,amp100-5,amp100-6,amp100-7
Amp_22,0.18145714285714,0.17245714285714,0.20245714285714,0.32445714285714,0.31645714285714,0.33345714285714,
Amp_1,0.56945714285714,0.51045714285714,0.58545714285714,0.73745714285714,0.70145714285714,0.67445714285714,
Amp_23,0.14345714285714,0.14845714285714,0.19745714285714,0.23845714285714,0.25545714285714,0.33345714285714,
Amp_28,0.26345714285714,0.32145714285714,0.42045714285714,0.57745714285714,0.64345714285714,0.69845714285714,
Amp_25,0.23945714285714,0.26845714285714,0.27745714285714,0.36645714285714,0.30645714285714,0.25045714285714,
Amp_26,0.34445714285714,0.40045714285714,0.43345714285714,0.59445714285714,0.62745714285714,0.59945714285714,
Amp_24,0.18545714285714,0.17145714285714,0.21845714285714,0.32145714285714,0.57645714285714,0.58745714285714,
Amp_10,0.50145714285714,0.52145714285714,0.63045714285714,0.67845714285714,0.70845714285714,0.72245714285714,
Amp_11,0.18645714285714,0.24145714285714,0.28345714285714,0.29645714285714,0.51645714285714,0.54145714285714,
Amp_3,0.35345714285714,0.42945714285714,0.52145714285714,0.65545714285714,0.64345714285714,0.86545714285714,
Amp_4,0.23245714285714,0.26745714285714,0.29845714285714,0.34545714285714,0.37545714285714,0.39145714285714,
Amp_13,0.15445714285714,0.20845714285714,0.22645714285714,0.23845714285714,0.22745714285714,0.10545714285714,
Amp_6,0.21245714285714,0.25145714285714,0.27345714285714,0.36745714285714,0.41945714285714,0.44745714285714,
Amp_12,0.28845714285714,0.31745714285714,0.38645714285714,0.46345714285714,0.31945714285714,0.33145714285714,
Amp_5,0.31745714285714,0.34145714285714,0.54545714285714,0.60445714285714,0.62945714285714,0.59345714285714,
Amp_8,0.23245714285714,0.29845714285714,0.37545714285714,0.52845714285714,0.69145714285714,0.76545714285714,
Amp_15,0.07345714285714,0.08345714285714,0.11445714285714,0.34045714285714,0.46745714285714,0.40545714285714,
Amp_7,0.26845714285714,0.29245714285714,0.32345714285714,0.50845714285714,0.29145714285714,0.49145714285714,
Amp_14,0.13745714285714,0.14445714285714,0.16045714285714,0.26045714285714,0.34245714285714,0.23845714285714,
Amp_9,0.23045714285714,0.28745714285714,0.30045714285714,0.41945714285714,0.40945714285714,0.39545714285714,
Amp_16,0.09245714285714,0.14245714285714,0.12845714285714,0.43145714285714,0.46445714285714,0.46645714285714,
Cam_15,0.01345714285714,0.01245714285714,0.01845714285714,0.34345714285714,0.54845714285714,0.87145714285714,
Cam_14,0.23145714285714,0.23945714285714,0.23745714285714,0.38945714285714,0.55045714285714,0.58245714285714,
Cam_11,0.41845714285714,0.45745714285714,0.53445714285714,0.62845714285714,0.51545714285714,0.78845714285714,
Cam_12,0.46745714285714,0.54445714285714,0.63245714285714,0.74545714285714,0.82445714285714,0.86945714285714,
Cam_8,0.00145714285714,0.00145714285714,0.00045714285714,0.00045714285714,0.00045714285714,0,
Cam_7,0.37845714285714,0.44645714285714,0.49645714285714,0.74345714285714,0.79345714285714,0.73345714285714,
Cam_5,0.38145714285714,0.48645714285714,0.52945714285714,0.68045714285714,0.63445714285714,0.71745714285714,
Cam_21,0.37945714285714,0.41745714285714,0.44645714285714,0.53445714285714,0.59345714285714,0.28545714285714,
Cam_3,0.00545714285714,0.00545714285714,0.00445714285714,0.00245714285714,0.00145714285714,0.03845714285714,
Cam_2,0.01745714285714,0.01645714285714,0.01745714285714,0.08245714285714,0.14645714285714,0.30145714285714,
Nor_16,0.00145714285714,0.00545714285714,0.04545714285714,0.31545714285714,0.38245714285714,0.32345714285714,
Nor_40,0,0,0,0.00045714285714,0,0,
Nor_46,0.00445714285714,0.00445714285714,0.00545714285714,0.00445714285714,0.00345714285714,0.00345714285714,
Nor_50,0.00845714285714,0.01045714285714,0.01145714285714,0.01445714285714,0.00845714285714,0.00245714285714,
Nor_55,0.00545714285714,0.00945714285714,0.03945714285714,0.57045714285714,0.85645714285714,0.79045714285714,
Nor_22,0.00245714285714,0.00245714285714,0.00245714285714,0.00145714285714,0.00145714285714,0.00145714285714,
Nor_23,0,0,0,0,0,0,
Nor_24,0.00545714285714,0.00545714285714,0.03145714285714,0.33445714285714,0.67645714285714,0.73445714285714,
Nor_30,0,0,0,0,0,0,
Nor_8,0.00145714285714,0.00245714285714,0.00445714285714,0.02045714285714,0.03045714285714,0.02745714285714,
Nor_43,0.08845714285714,0.12145714285714,0.16245714285714,0.32445714285714,0.40745714285714,0.47345714285714,
Nor_29,0.01745714285714,0.01945714285714,0.02245714285714,0.02145714285714,0.04245714285714,0.18245714285714,
Nor_45,0,0,0,0,0,0,
Nor_15,0,0,0,0.01545714285714,0.02945714285714,0.09545714285714,
Nor_21,0.00245714285714,0.00345714285714,0.00345714285714,0.00345714285714,0.00345714285714,0.00645714285714,
Nor_51,0.02045714285714,0.02845714285714,0.03845714285714,0.13945714285714,0.21845714285714,0.30945714285714,
Nor_17,0.00245714285714,0.00345714285714,0.00345714285714,0.00245714285714,0.00245714285714,0.00245714285714,
Nor_52,0,0,0.00145714285714,0.00145714285714,0.00045714285714,0.00145714285714,
Nor_9,0,0,0,0.01345714285714,0.02345714285714,0.02745714285714,
Nor_54,0.00145714285714,0.00245714285714,0.00245714285714,0.00345714285714,0.00245714285714,0.00245714285714,
Nor_47,0,0,0,0,0,0,
Amp_92,0.44174285714286,0.47174285714286,0.45374285714286,0.53374285714286,0.48574285714286,0.44074285714286,
Amp_89,0.35374285714286,0.38274285714286,0.41074285714286,0.52874285714286,0.49374285714286,0.37374285714286,
Amp_75,0.29874285714286,0.34974285714286,0.40974285714286,0.48874285714286,0.66074285714286,0.67274285714286,
Amp_82,0.20674285714286,0.25774285714286,0.31374285714286,0.32474285714286,0.43774285714286,0.35274285714286,
Amp_94,0.21374285714286,0.23974285714286,0.24074285714286,0.41674285714286,0.56874285714286,0.48574285714286,
Amp_87,0.18874285714286,0.22774285714286,0.20874285714286,0.32374285714286,0.50874285714286,0.45574285714286,
Amp_71,0.20374285714286,0.23074285714286,0.31574285714286,0.61974285714286,0.80574285714286,0.82474285714286,
Amp_80,0.32174285714286,0.32774285714286,0.41274285714286,0.52474285714286,0.69974285714286,0.69574285714286,
Amp_84,0.49474285714286,0.40474285714286,0.38574285714286,0.33374285714286,0.36074285714286,0.24774285714286,
Tet_7171,0.38074285714286,0.40474285714286,0.48474285714286,0.53174285714286,0.73974285714286,0.70774285714286,
Tet_5757,0.01274285714286,0.01274285714286,0.01374285714286,0.00974285714286,0.00674285714286,0.00574285714286,
Amp_78,0.15374285714286,0.17374285714286,0.17674285714286,0.34374285714286,0.45674285714286,0.40874285714286,
Kan_81,0.00974285714286,0.00974285714286,0.00874285714286,0.00874285714286,0.07274285714286,0.25574285714286,
Kan_86,0.02374285714286,0.04374285714286,0.06874285714286,0.14274285714286,0.26274285714286,0.30174285714286,
Kan_92,0,0,0,0,0.00074285714286,0.23474285714286,
